"State";"Index";"Grocery";"Housing";"Utilities";"Transportation";"Heath";"Misc."
"Mississippi";83,5;92,3;70,1;83,1;87,8;91,3;89
"Indiana";88;92,8;76,1;93,4;92,7;93,3;92,1
"Idaho";88,2;90,2;72,9;87,9;101,9;103,1;93,8
"Oklahoma";89,7;96;78,5;98,3;89,9;95,7;93,2
"Kentucky";90;92,1;76,8;93,1;98,5;95;95,9
"Alabama";90,2;97,9;75,7;99,7;91,1;85,6;96,8
"Tennessee";90,3;93,2;78,3;93,5;91,4;89,6;98,1
"Kansas";90,9;92;79,8;97,9;93,2;97,3;96,1
"Michigan";91,2;91,1;79,7;99,8;101,7;95,6;94,2
"Arkansas";91,4;93,9;79,9;100,9;92;88,7;97,5
"Missouri";91,5;95,1;78,4;104,5;93;97;95,9
"Georgia";91,7;100,3;78,1;91,7;94,1;98;98
"Iowa";92;93,8;83,9;95,3;98,1;96,3;94,4
"Nebraska";92,3;97,6;85,4;87,3;99,4;99,2;94,4
"Utah";92,4;95;85,5;86,1;105,6;89,7;94,9
"Ohio";92,5;98,4;80,7;99,4;97,9;95,4;95,9
"Texas";92,6;89,4;86,7;95,1;96;95,8;96,5
"Wyoming";92,8;96,8;88,9;100,2;92;100,8;91,5
"Louisiana";93,4;97,3;90,1;88,1;92,9;94,5;96,3
"Virginia";94,5;93,5;90;100;90,4;98,6;97,9
"North Carolina";95,8;99,4;85,3;99,9;97,2;103,4;100,5
"Illinois";96,5;99,5;90,7;99;100,8;99,6;97,6
"South Carolina";97,5;107,2;84,6;104,8;92,7;102,2;103,3
"Wisconsin";98,1;101,6;91,1;100,9;100,7;113,3;98,8
"Arizona";98,8;98,8;98,6;100,4;99,8;100,4;98
"Florida";100,5;104,4;97,7;102,7;102,5;98,1;100,3
"North Dakota";101,2;108,8;102;90,1;98,7;111,2;100,5
"Minnesota";101,5;107,6;94,5;88,4;104;109,8;107,3
"Colorado";101,9;97,2;111,7;87;97,4;103,1;101,4
"South Dakota";102,5;104,2;117;89,5;99,7;96,5;95,4
"Montana";102,7;103,9;112,9;85,4;97,9;104,8;100,2
"Delaware";102,8;106,5;95,3;111,3;101,4;101,5;105,7
"Pennsylvania";103;103;101,6;114,5;104,6;91,7;101,6
"West Virginia";103,7;97;102,3;93,2;99,3;95,5;113,5
"Washington";106;104,8;109,6;86,7;113,1;116,9;105,7
"Nevada";106,5;112,5;100;94,7;118,4;103,3;109,8
"Maine";114,7;109,4;121,4;120;115,4;111,1;109,6
"New Hampshire";118,2;111;122,7;137,2;104,7;116,2;116,3
"Maryland";121,1;113,8;172,5;97,8;106,8;88,8;96,6
"Rhode Island";123,3;118,6;136;125,7;106;114,7;120,7
"Vermont";123,8;110,5;152,4;121,2;115,2;106,6;110,8
"New Jersey";125,6;111,8;161;112;107,9;108,1;113,5
"Oregon";129,5;115,5;166,8;83,5;119;110,5;123,9
"Massachusetts";130,4;109,2;171,8;116,9;110,5;117,9;116,1
"Connecticut";131,8;130,6;161,2;120,7;108,2;115,5;120,9
"Alaska";133,5;127;146,7;154,7;131,1;143,2;117,7
"California";134,3;113,5;192,4;114,6;125,9;108,1;105,6
"New York";135,6;110,8;197,1;104,7;115,1;103,7;113,9
"District of    Columbia";146,8;111,9;245,8;96,2;114,2;94,2;110,4
"Hawaii";168,6;158,8;223,2;224,4;136,5;109;127,3
"Grand Total";100;100;100;100;100;100;100
