"State";"1980";"1990";"1995";"2000";"2003";"2006";"2009";"2012"
"Washington, D.C.";35283;44752;51451;53519;62361;67967;72996;77250
"Connecticut";33212;46174;49741;56087;55693;59747;60163;60911
"Massachusetts";29097;40402;43675;51956;51361;54494;55162;56546
"New Jersey";31582;43915;45584;51149;52151;55040;55646;55451
"New York";29316;40537;43162;47801;47180;51820;51934;53866
"Maryland";29935;40112;41877;46138;48157;51538;53403;53738
"North Dakota";24889;27821;29714;34048;37673;38562;43720;53657
"Wyoming";31732;30699;33497;37719;42322;47851;50550;50325
"Virginia";27109;35490;38078;42883;43436;46539;48525;48683
"New Hampshire";26352;36739;38937;45707;44766;46789;47371;48658
"Alaska";37460;37931;40167;40847;43303;44888;47119;48368
"Minnesota";27858;34112;38276;44006;44431;45737;45957;47799
"Washington";29537;34991;37178;43035;42998;44976;46177;46957
"Colorado";29212;34173;38715;44694;44225;46481;45726;46670
"Rhode Island";26574;34568;37440;40118;41172;44165;45349;46520
"California";31740;37511;38140;44301;43536;46640;46811;46509
"Illinois";30108;36609;39926;43898;43460;45207;45801;46339
"Hawaii";29172;37963;39834;38379;39878;43576;46462;45521
"South Dakota";22464;28380;30903;35770;37712;37699;40850;45143
"Pennsylvania";26937;34293;36960;40657;41277;43343;43773;45099
"Nebraska";25618;31560;34559;38074;39678;40536;42118;44610
"Vermont";22916;31678;33256;36997;39655;41043;42584;44456
"United States";27343;33899;36686;40608;40805;43212;43287;44145
"Iowa";26571;30296;32979;36422;37465;38886;40647;43558
"Delaware";28970;35810;39534;42735;42325;46057;44038;43366
"Kansas";28454;32032;34081;37721;38616;40958;41935;43257
"Texas";27184;30413;33516;38242;37890;41390;40351;42881
"Wisconsin";26968;31597;35146;38722;39858;40495;40725;41915
"Florida";26628;34114;36608;38259;39275;43219;41785;41716
"Maine";22349;30946;31514;34974;37192;37776;40640;40823
"Louisiana";24227;25931;30425;31818;33669;37453;39271;40753
"Ohio";27069;31865;35635;38552;38628;39218;39131;40625
"Missouri";25379;31611;34400;37490;37735;38593;39458;40377
"Oklahoma";25972;27452;30196;32590;34386;38124;39006;40332
"Oregon";26810;31237;35294;38115;37849;39193;39448;40105
"Tennessee";22208;28880;33943;35754;36707;37866;37702;38959
"Michigan";28227;33122;37329;40137;39266;39768;37632;38772
"Montana";24025;26773;29216;31030;33437;36240;37608;38641
"Nevada";31242;36770;40183;40659;40333;45896;42667;38631
"North Carolina";22406;29572;34157;37043;36423;37955;38105;38309
"Indiana";25672;30536;34013;37114;37130;38003;37300;38157
"Georgia";23100;31092;34612;38300;37980;37776;37367;38123
"Arizona";25500;29532;32127;34433;34621;37589;36426;37202
"Alabama";21499;27057;30646;32412;33976;36362;36604;36836
"New Mexico";22867;25811;29353;30221;32948;35226;36489;36272
"Kentucky";22116;26788;29918;33189;33865;34991;35263;36232
"Arkansas";20485;25023;28876;30309;31333;33513;35332;35904
"Utah";22092;25538;29362;32295;32220;34611;34148;35777
"West Virginia";22360;25359;27891;29955;31449;33198;35634;35649
"South Carolina";21289;27423;30319;33072;33710;35036;35170;35431
"Idaho";23342;27792;30564;32696;33425;35216;34985;34896
"Mississippi";18930;22842;26757;28800;30248;31812;33294;34197
